molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50,activityclass,index_x,value_x,property_x,scaffold_train_test_label_x,random_train_test_label_x,index_y,value_y,property_y,scaffold_train_test_label_y,random_train_test_label_y
,Brc1c(NC2=NCCN2)ccc2nccnc12,,,,,,,,2737.0,0.31,logd,train,train,,,,,
,Brc1cc(Br)c(-c2ccccc2)c(Br)c1,,,,,,,,,,,,,13333.0,1.7,solubility,test,train
,Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,,,,,,,,3947.0,2.51,logd,train,test,,,,,
,Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,,,,,,,,10009.0,2.8,logd,train,train,,,,,
,Brc1ccc(-c2ccc(Br)cc2)cc1,,,,,,,,,,,,,13178.0,1.26,solubility,test,train
,Brc1ccc(Br)c(-c2cc(Br)ccc2Br)c1,,,,,,,,,,,,,13303.0,0.94,solubility,test,train
,Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,,,,,,,,5565.0,-0.52,logd,test,train,,,,,
,Brc1ccc(C(OCC[NH2+]N2CCCC2)c2ccccc2)cc1,,,,,,,,,,,,,4122.0,3.4107,solubility,test,train
,Brc1ccc(CNCC2CCC(CNCc3ccc(Br)cc3)CC2)cc1,,,,,,,,,,,,,3257.0,1.1003,solubility,train,test
,Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1,,,,,,,,730.0,-0.31,logd,test,train,,,,,
,Brc1ccc(OCCCCCCCCCCN2CCSC2)nc1,,,,,,,,,,,,,3783.0,2.8652,solubility,train,train
,Brc1ccc(OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc2ccc(Br)cn2)nc1,,,,,,,,,,,,,3037.0,-5.5491,solubility,test,train
,Brc1ccc(OCCCCCCCCN2CCSC2)nc1,,,,,,,,,,,,,4549.0,3.9046,solubility,test,train
,Brc1ccc(OCCCCCCCN2CCSC2)nc1,,,,,,,,,,,,,5071.0,4.4237,solubility,train,train
,Brc1ccc(OCCCCCCN2CCSC2)nc1,,,,,,,,,,,,,5795.0,4.9446,solubility,test,train
,Brc1ccc(OCCCCCCNCCSSCCNCCCCCCOc2ccc(Br)cn2)nc1,,,,,,,,,,,,,3076.0,-1.382,solubility,train,train
,Brc1ccc(OCCCCCN2CCSC2)nc1,,,,,,,,,,,,,6602.0,5.4639,solubility,train,test
,Brc1ccc(OCCCCCNCCSSCCNCCCCCOc2ccc(Br)cn2)nc1,,,,,,,,,,,,,3114.0,-0.3417,solubility,train,train
,Brc1ccc(OCCCCN2CCSC2)nc1,,,,,,,,,,,,,7438.0,5.9841,solubility,train,test
,Brc1ccc(OCCCN2CCSC2)nc1,,,,,,,,,,,,,8367.0,6.5024,solubility,test,test
,Brc1ccc(OCCCNCCSSCCNCCCOc2ccc(Br)cn2)nc1,,,,,,,,,,,,,3366.0,1.74,solubility,train,test
,Brc1ccc(OCCN2CCSC2)nc1,,,,,,,,,,,,,9236.0,7.0225,solubility,train,test
,Brc1ccc(OCCNCCSSCCNCCOc2ccc(Br)cn2)nc1,,,,,,,,,,,,,3739.0,2.7814,solubility,train,train
,Brc1ccc(SCCCCCCCCCCN2CCSC2)nc1,,,,,,,,,,,,,3541.0,2.2718,solubility,train,train
,Brc1ccc(SCCCCCCCN2CCSC2)nc1,,,,,,,,,,,,,4472.0,3.8284,solubility,test,test
,Brc1ccc(SCCCCCCN2CCSC2)nc1,,,,,,,,,,,,,5018.0,4.3857,solubility,train,train
,Brc1ccc(SCCCCCN2CCSC2)nc1,,,,,,,,,,,,,5726.0,4.9059,solubility,train,train
,Brc1ccc(SCCCCN2CCSC2)nc1,,,,,,,,,,,,,6540.0,5.4255,solubility,train,train
,Brc1ccc2[nH]cc(C3CCC[NH+]3Cc3ccccc3)c2c1,,,,,,,,,,,,,4659.0,4.0364,solubility,train,train
,Brc1ccc2ccccc2c1,,,,,,,,,,,,,2439.0,4.6,solubility,train,train
,Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1,,,,,,,,1160.0,-0.29,logd,train,test,,,,,
,Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1,,,,,,,,4447.0,0.14,logd,train,test,,,,,
,Brc1cccc(Br)c1N(CC1CC1)C1=NCCCN1,,,,,,,,3992.0,-1.03,logd,train,test,,,,,
,Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,,,,,,,,63.0,-1.12,logd,test,test,,,,,
,Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1,,,,,,,,2212.0,-0.06,logd,train,test,,,,,
,Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,,,,,,,,4172.0,0.32,logd,train,train,,,,,
,Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1,,,,,,,,4407.0,0.27,logd,train,train,,,,,
,Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1,,,,,,,,2593.0,-0.05,logd,test,train,,,,,
,Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1,,,,,,,,1895.0,-0.52,logd,train,train,,,,,
